role,group,campaign_id,seed,artifact,artifact_bytes,sha256,outcome,capture_classification,final_classification,classification_source,max_act
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430100,run_STS430100_a20_ironclad.jsonl,305694,8e4a8c22bc372565b2f65bd922176d7eae488f3e62b86a1a4d10eeeeddf03bac,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430108,run_STS430108_a20_ironclad.jsonl,1168677,5815a4761636516965eaeb25f9440c5962b4130931da4d8603eaab0ec6748700,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430116,run_STS430116_a20_ironclad.jsonl,432391,b3ab039ff6dcb8850bd9ec5b8e60da5a6303315cfefa3ae95a4307bbbbafb249,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430124,run_STS430124_a20_ironclad.jsonl,899348,1d9bca0cd97e974261d83f7d0e4218fe7ebcd910c56a640c287a5d391f50be4e,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430132,run_STS430132_a20_ironclad.jsonl,982053,03acc0353b3279d468aa4355243c05300f666eb7ef35fa609ea50727b5692975,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430140,run_STS430140_a20_ironclad.jsonl,619916,61ec60e6be722ee2a22ec9dadcd78e87c0ecf9f4d515c288e81f21a9b423670d,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430148,run_STS430148_a20_ironclad.jsonl,1133200,89db0b2dbc6dfa04cd6644549141468911051cecb86137dc720dfb29618b94cf,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430156,run_STS430156_a20_ironclad.jsonl,601083,e2d78013b27001052ad807ed22734d836faf38804156dbe577c726f574095ae5,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430164,run_STS430164_a20_ironclad.jsonl,606996,bf9e892e5afe9041bed527ea7d6b3b14e7f0547e40c55db80718d1b7906f53ad,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430172,run_STS430172_a20_ironclad.jsonl,442098,e71377c6afb10c8ed9d9b958513c85a740cd9cebad210f615d47ee017cd1f956,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430180,run_STS430180_a20_ironclad.jsonl,1059728,4cf021d0fc9fbee06d8631193cf48eb0a5f156a5b3267bf431a52fd69d29d696,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430188,run_STS430188_a20_ironclad.jsonl,895981,7dac96c718f62fee69e6d96005fd89441ed17373112935f5e66872a70099b671,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430196,run_STS430196_a20_ironclad.jsonl,603780,c463ab9b6a2024b9d29bcea4f00e9af4fe96c307dd94e7982af50146361e7dc0,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430204,run_STS430204_a20_ironclad.jsonl,669490,7ce2e5f103c00ee08121b29349707e3ab376f090fad485828b2006bd01741143,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430212,run_STS430212_a20_ironclad.jsonl,989496,6ea023fee3b73235802ae06a1a4dfb29939d67483e35d73195c22ab9e114f534,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430220,run_STS430220_a20_ironclad.jsonl,943971,23acaa45320d476155ea6521afb88b205df4ddf8bf8d709239e85734b886c4a5,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430228,run_STS430228_a20_ironclad.jsonl,841773,e5eaeacd86a8212a06eb91c429764fd5dad079c191a8cad927a1c67b1223e59b,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430236,run_STS430236_a20_ironclad.jsonl,1297651,81745981c8ec98579a1ca3f28717ccf46addde4dcc4d61e5e5eeabac54bbc181,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430244,run_STS430244_a20_ironclad.jsonl,1343026,2e68fbef4d81e36e79ffccf8e09bdb6f7f0dc11ac96abd6bc5ec90a0eda38aca,death,clean,clean,capture postprocess,1
breadth,s243_breadth_rand,s243_breadth_rand.worker-001-of-008,STS430252,run_STS430252_a20_ironclad.jsonl,1320416,57163f2ffafc2b81d9ee77ac838e297326f73df95ffef3e26fc7c860f9e2ab39,death,clean,clean,capture postprocess,1
