id,name,game_id,pool,acts,act2_3_sightings_clean,any_act_sightings_clean,sim_prep_census_rows,witness_campaign_id,witness_seed,disposition_status,status
12,MATCH_AND_KEEP,Match and Keep!,SHRINE,1 2 3,0,890,4449,,,,OWED
13,GOLDEN_SHRINE,Golden Shrine,SHRINE,1 2 3,0,148,3342,,,,OWED
14,TRANSMORGRIFIER,Transmorgrifier,SHRINE,1 2 3,2,117,3507,s243_breadth_take.worker-003-of-008,STS431626,,sighted-zero-diff
15,PURIFIER,Purifier,SHRINE,1 2 3,2,158,4436,s243_breadth_skip.worker-008-of-008,STS432567,,sighted-zero-diff
16,UPGRADE_SHRINE,Upgrade Shrine,SHRINE,1 2 3,0,125,4492,,,,OWED
17,WHEEL_OF_CHANGE,Wheel of Change,SHRINE,1 2 3,4,324,3469,s243_breadth_take.worker-008-of-008,STS431071,,sighted-zero-diff
18,ACCURSED_BLACKSMITH,Accursed Blacksmith,SPECIAL,1 2 3,0,117,3434,,,,OWED
19,BONFIRE_ELEMENTALS,Bonfire Elementals,SPECIAL,1 2 3,0,189,3985,,,,OWED
20,DESIGNER,Designer,SPECIAL,2 3,0,0,2,,,,OWED
21,DUPLICATOR,Duplicator,SPECIAL,2 3,0,0,4,,,,OWED
22,FACE_TRADER,FaceTrader,SPECIAL,1 2,0,193,4008,,,,OWED
23,FOUNTAIN_OF_CLEANSING,Fountain of Cleansing,SPECIAL,1 2 3,0,11,707,,,,OWED
24,KNOWING_SKULL,Knowing Skull,SPECIAL,2,0,0,1,,,,OWED
25,LAB,Lab,SPECIAL,1 2 3,0,55,3580,,,,OWED
26,NLOTH,N'loth,SPECIAL,2,0,0,4,,,,OWED
27,NOTE_FOR_YOURSELF,NoteForYourself,SPECIAL,1 2 3,0,0,0,,,,OWED
28,SECRET_PORTAL,SecretPortal,SPECIAL,3,0,0,0,,,,OWED
29,THE_JOUST,The Joust,SPECIAL,2,0,0,6,,,,OWED
30,WE_MEET_AGAIN,WeMeetAgain,SPECIAL,1 2 3,0,142,3249,,,,OWED
31,THE_WOMAN_IN_BLUE,The Woman in Blue,SPECIAL,1 2 3,2,148,3350,s243_breadth_skip.worker-006-of-008,STS432405,,sighted-zero-diff
32,ADDICT,Addict,EVENT,2,4,4,0,s243_breadth_take.worker-004-of-008,STS431619,,sighted-zero-diff
33,BACK_TO_BASICS,Back to Basics,EVENT,2,6,6,0,s243_breadth_take.worker-004-of-008,STS431619,,sighted-zero-diff
34,BEGGAR,Beggar,EVENT,2,2,2,0,s243_breadth_skip.worker-003-of-008,STS432354,,sighted-zero-diff
35,COLOSSEUM,Colosseum,EVENT,2,0,0,0,,,,OWED
36,CURSED_TOME,Cursed Tome,EVENT,2,4,4,0,s243_breadth_skip.worker-005-of-008,STS432204,,sighted-zero-diff
37,DRUG_DEALER,Drug Dealer,EVENT,2,2,2,0,s243_breadth_take.worker-007-of-008,STS431342,,sighted-zero-diff
38,FORGOTTEN_ALTAR,Forgotten Altar,EVENT,2,2,2,0,s243_breadth_take.worker-003-of-008,STS431626,,sighted-zero-diff
39,GHOSTS,Ghosts,EVENT,2,4,4,0,s243_breadth_skip.worker-001-of-008,STS432432,,sighted-zero-diff
40,MASKED_BANDITS,Masked Bandits,EVENT,2,4,4,0,s243_breadth_skip.worker-003-of-008,STS432354,,sighted-zero-diff
41,NEST,Nest,EVENT,2,3,3,0,s243_breadth_skip.worker-003-of-008,STS432354,,sighted-zero-diff
42,THE_LIBRARY,The Library,EVENT,2,2,2,0,s243_breadth_skip.worker-001-of-008,STS432432,,sighted-zero-diff
43,THE_MAUSOLEUM,The Mausoleum,EVENT,2,6,6,0,s243_breadth_take.worker-004-of-008,STS431619,,sighted-zero-diff
44,VAMPIRES,Vampires,EVENT,2,0,0,0,,,,OWED
45,FALLING,Falling,EVENT,3,0,0,0,,,,OWED
46,MIND_BLOOM,MindBloom,EVENT,3,0,0,0,,,,OWED
47,THE_MOAI_HEAD,The Moai Head,EVENT,3,0,0,0,,,,OWED
48,MYSTERIOUS_SPHERE,Mysterious Sphere,EVENT,3,0,0,0,,,,OWED
49,SENSORY_STONE,SensoryStone,EVENT,3,0,0,0,,,,OWED
50,TOMB_OF_LORD_RED_MASK,Tomb of Lord Red Mask,EVENT,3,0,0,0,,,,OWED
51,WINDING_HALLS,Winding Halls,EVENT,3,0,0,0,,,,OWED
